sample_id	n_malignant_cells_requested	n_malignant_cells_written	n_genes	source_raw_h5	output_h5ad
GSM8896646_P46_1	6297	6297	33538	/Users/niubi/Desktop/SACC/GSE294017/raw_h5/GSM8896646_P46_1_output_filtered.h5	/Users/niubi/Desktop/SACC/analysis/gse294017_cleanup/output/malignant_counts_by_sample/GSM8896646_P46_1.malignant_counts.h5ad
GSM8896647_P46_2	6292	6292	33538	/Users/niubi/Desktop/SACC/GSE294017/raw_h5/GSM8896647_P46_2_output_filtered.h5	/Users/niubi/Desktop/SACC/analysis/gse294017_cleanup/output/malignant_counts_by_sample/GSM8896647_P46_2.malignant_counts.h5ad
GSM8896643_P32	4532	4532	33538	/Users/niubi/Desktop/SACC/GSE294017/raw_h5/GSM8896643_P32_output_filtered.h5	/Users/niubi/Desktop/SACC/analysis/gse294017_cleanup/output/malignant_counts_by_sample/GSM8896643_P32.malignant_counts.h5ad
GSM8896650_P74	4044	4044	33538	/Users/niubi/Desktop/SACC/GSE294017/raw_h5/GSM8896650_P74_output_filtered.h5	/Users/niubi/Desktop/SACC/analysis/gse294017_cleanup/output/malignant_counts_by_sample/GSM8896650_P74.malignant_counts.h5ad
GSM8896652_P85	3960	3960	33538	/Users/niubi/Desktop/SACC/GSE294017/raw_h5/GSM8896652_P85_output_filtered.h5	/Users/niubi/Desktop/SACC/analysis/gse294017_cleanup/output/malignant_counts_by_sample/GSM8896652_P85.malignant_counts.h5ad
GSM8896644_P33	3678	3678	33538	/Users/niubi/Desktop/SACC/GSE294017/raw_h5/GSM8896644_P33_output_filtered.h5	/Users/niubi/Desktop/SACC/analysis/gse294017_cleanup/output/malignant_counts_by_sample/GSM8896644_P33.malignant_counts.h5ad
GSM8896653_P103	3058	3058	33538	/Users/niubi/Desktop/SACC/GSE294017/raw_h5/GSM8896653_P103_output_filtered.h5	/Users/niubi/Desktop/SACC/analysis/gse294017_cleanup/output/malignant_counts_by_sample/GSM8896653_P103.malignant_counts.h5ad
GSM8896649_P66_2	1624	1624	33538	/Users/niubi/Desktop/SACC/GSE294017/raw_h5/GSM8896649_P66_2_output_filtered.h5	/Users/niubi/Desktop/SACC/analysis/gse294017_cleanup/output/malignant_counts_by_sample/GSM8896649_P66_2.malignant_counts.h5ad
GSM8896648_P66_1	1272	1272	33538	/Users/niubi/Desktop/SACC/GSE294017/raw_h5/GSM8896648_P66_1_output_filtered.h5	/Users/niubi/Desktop/SACC/analysis/gse294017_cleanup/output/malignant_counts_by_sample/GSM8896648_P66_1.malignant_counts.h5ad
GSM8896651_P79	1119	1119	33538	/Users/niubi/Desktop/SACC/GSE294017/raw_h5/GSM8896651_P79_output_filtered.h5	/Users/niubi/Desktop/SACC/analysis/gse294017_cleanup/output/malignant_counts_by_sample/GSM8896651_P79.malignant_counts.h5ad
GSM8896641_P31_1	830	830	33538	/Users/niubi/Desktop/SACC/GSE294017/raw_h5/GSM8896641_P31_1_output_filtered.h5	/Users/niubi/Desktop/SACC/analysis/gse294017_cleanup/output/malignant_counts_by_sample/GSM8896641_P31_1.malignant_counts.h5ad
GSM8896642_P31_2	820	820	33538	/Users/niubi/Desktop/SACC/GSE294017/raw_h5/GSM8896642_P31_2_output_filtered.h5	/Users/niubi/Desktop/SACC/analysis/gse294017_cleanup/output/malignant_counts_by_sample/GSM8896642_P31_2.malignant_counts.h5ad
GSM8896638_P6	803	803	33538	/Users/niubi/Desktop/SACC/GSE294017/raw_h5/GSM8896638_P6_output_filtered.h5	/Users/niubi/Desktop/SACC/analysis/gse294017_cleanup/output/malignant_counts_by_sample/GSM8896638_P6.malignant_counts.h5ad
